year,mon,ext,cnt,size,lines,avg_size,avg_line
2025,2,.txt,19,60336, ,3175, 
2025,2,.h,5,2139,91,427,18
2025,2,.cpp,13,119213,3273,9170,251
2025,2,.json,33,205855, ,6238, 
2025,2,.c,4,110480,3000,27620,750
2025,3,.py,2502,28359409,679049,11334,271
2025,3,.txt,97,164940, ,1700, 
2025,3,.json,40,313286, ,7832, 
2025,3,.hpp,13,112721,2929,8670,225
2025,3,.cpp,26,294496,7949,11326,305
2025,3,.h,30,77340,2139,2578,71
2025,3,.c,6,143873,3951,23978,658
2025,3,.js,1,3655,104,3655,104
2025,4,.cs,4,2405,67,601,16
2025,4,.json,5,3455, ,691, 
2025,4,.txt,4,16230, ,4057, 
2025,4,.c,1,27620,750,27620,750
2025,4,.cpp,4,36810,1077,9202,269
2025,4,.h,1,1214,41,1214,41
2025,5,.html,4,16763, ,4190, 
2025,5,.js,4,4672,143,1168,35
2025,5,.txt,27,79874, ,2958, 
2025,5,.cpp,13,188739,5277,14518,405
2025,5,.h,3,9514,266,3171,88
2025,5,.json,35,386469, ,11041, 
2025,5,.c,5,138100,3750,27620,750
2025,6,.json,26,1789177, ,68814, 
2025,6,.cs,15,15928,452,1061,30
2025,6,.js,17,1556397,32826,91552,1930
2025,6,.txt,4,306557, ,76639, 
2025,8,.json,30,959851, ,31995, 
2025,8,.cs,214,762648,16209,3563,75
2025,8,.txt,4,23565, ,5891, 
2025,9,.cs,22,7724,228,351,10
2025,9,.json,39,252897, ,6484, 
2025,9,.txt,21,145379, ,6922, 
2025,9,.cpp,9,94288,2551,10476,283
2025,9,.c,3,82860,2250,27620,750
2025,9,.h,53,1111994,24793,20981,467
2025,9,.py,30,233833,5399,7794,179
2025,9,.html,1,2317, ,2317, 
2025,10,.json,44,1128643, ,25650, 
2025,10,.cs,56,231293,5429,4130,96
2025,10,.txt,29,69347, ,2391, 
2025,10,.cpp,8,80752,2221,10094,277
2025,10,.c,2,55240,1500,27620,750
2025,10,.py,413,4545813,112790,11006,273
2025,11,.cs,41,80612,2309,1966,56
2025,11,.json,32,195172, ,6099, 
2025,11,.html,1,1998, ,1998, 
2025,11,.txt,17,55724, ,3277, 
2025,11,.py,494,5954213,159915,12053,323
2025,11,.h,1,1188,34,1188,34
2025,11,.cpp,4,59256,1605,14814,401
2025,11,.c,2,55240,1500,27620,750
2025,12,.cs,4,1786,45,446,11
2025,12,.json,26,357107, ,13734, 
2025,12,.txt,134,2185403, ,16308, 
2025,12,.py,6047,99384054,2367813,16435,391
2025,12,.h,49,702752,12745,14341,260
2025,12,.c,21,11323685,243541,539223,11597
2025,12,.html,5,4446, ,889, 
2025,12,.js,4,38315,958,9578,239
2025,12,.cpp,15,265220,9153,17681,610
2025,12,.hpp,10,40514,914,4051,91
2026,1,.txt,5,8611, ,1722, 
2026,1,.cs,17,5060,125,297,7
2026,1,.json,5,8288, ,1657, 
2026,1,.ipynb,20,1567190, ,78359, 
2026,1,.py,13,57543,1394,4426,107
2026,2,.cs,319,885400,18867,2775,59
2026,2,.json,106,1692054, ,15962, 
2026,2,.h,4,344726,8688,86181,2172
2026,2,.js,132,1058036,20676,8015,156
2026,2,.c,1,0,0,0,0
2026,2,.html,2,20301, ,10150, 
2026,2,.txt,8,97417, ,12177, 
